City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
95,Mar Del Plata,AR,64.42,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
98,Handan,CN,36.19,overcast clouds,36.6006,114.4678,Jin Jiang Inn - Handan China South Street Inn
99,Hobart,AU,57.25,overcast clouds,-42.8794,147.3294,Mantra on Collins Hobart
101,Tasiilaq,GL,6.04,overcast clouds,65.6145,-37.6368,The Red House
103,Cap Malheureux,MU,81.09,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
104,Hithadhoo,MV,81.5,overcast clouds,-0.6,73.0833,Scoop Guest House
105,Tete,MZ,82.49,few clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
106,Dunedin,NZ,49.8,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
107,Mandera,KE,83.68,overcast clouds,3.9366,41.867,Mwalimu Guest mandera
108,Didwana,IN,62.76,clear sky,27.4,74.5667,Marudhar Hotel Didwana
109,Kedainiai,LT,33.15,overcast clouds,55.2883,23.9747,Gray's house
110,Butaritari,KI,82.74,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
111,Gariaband,IN,56.39,scattered clouds,20.635,82.0614,हंसराज ट्रैक्टर
112,Yeppoon,AU,71.38,overcast clouds,-23.1333,150.7333,Villa Mar Colina
113,Ascension,US,72.1,scattered clouds,30.2169,-90.9001,Highland Inn
114,Mercedes,AR,72.03,clear sky,-34.6515,-59.4307,Posada del Inti Centro
116,Kodiak,US,34.59,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
117,Ebolowa,CM,75.4,clear sky,2.9,11.15,Florence Hotel Ebolowa
118,Lahat,ID,72.5,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
119,Lerik,AZ,36.19,clear sky,38.7726,48.4128,9 QARDAŞ
120,Grindavik,IS,25.27,clear sky,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
121,Tual,ID,82.29,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
122,Manta,EC,78.6,overcast clouds,-0.95,-80.7333,Balandra Hotel
123,San Juan,AR,73.22,few clouds,-31.5375,-68.5364,Hotel Provincial
124,Savannah Bight,HN,84.0,clear sky,16.45,-85.85,Villa on Dunbar Rock
125,Porto Novo,BJ,80.46,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
126,Sao Filipe,CV,79.41,broken clouds,14.8961,-24.4956,Hotel Xaguate
