City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Ilulissat,GL,69.2167,-51.1,20.07,91,100,14.52,light snow
80,Kapaa,US,22.0752,-159.319,75.18,78,75,4.61,broken clouds
81,East London,ZA,-33.0153,27.9116,77.94,94,0,9.22,clear sky
82,Kaka,TM,37.3482,59.6143,43.57,83,100,4.03,overcast clouds
83,Bethel,US,41.3712,-73.414,57.02,50,97,5.01,overcast clouds
84,Iqaluit,CA,63.7506,-68.5145,-22.27,57,75,2.3,broken clouds
85,Naze,JP,28.3667,129.4833,62.74,91,100,13.6,overcast clouds
86,Digby,CA,44.6169,-65.7655,58.15,76,97,21.65,overcast clouds
87,Bluff,NZ,-46.6,168.3333,50.81,68,100,13.96,overcast clouds
88,Tuatapere,NZ,-46.1333,167.6833,50.83,79,100,7.29,overcast clouds
89,Hamilton,US,39.1834,-84.5333,31.98,79,100,4.0,overcast clouds
90,Yulara,AU,-25.2406,130.9889,69.64,40,0,6.91,clear sky
91,Yamethin,MM,20.4333,96.15,62.92,38,100,2.89,overcast clouds
92,Ketchikan,US,55.3422,-131.6461,40.98,93,100,5.91,light rain
93,Thinadhoo,MV,0.5333,72.9333,81.48,70,100,6.73,overcast clouds
94,Sajanan,TN,37.0573,9.2426,50.92,90,57,3.69,broken clouds
95,Mar Del Plata,AR,-38.0023,-57.5575,64.42,72,75,21.85,broken clouds
96,Norman Wells,CA,65.282,-126.8329,-20.16,69,20,3.44,few clouds
97,Kosh-Agach,RU,50.0,88.6667,-28.12,97,52,3.11,broken clouds
98,Handan,CN,36.6006,114.4678,36.19,76,96,10.94,overcast clouds
99,Hobart,AU,-42.8794,147.3294,57.25,76,100,6.91,overcast clouds
100,Teya,RU,60.3778,92.6267,-16.74,100,48,2.39,scattered clouds
101,Tasiilaq,GL,65.6145,-37.6368,6.04,65,100,3.67,overcast clouds
102,Thompson,CA,55.7435,-97.8558,-11.04,64,0,10.36,clear sky
103,Cap Malheureux,MU,-19.9842,57.6142,81.09,83,7,3.0,clear sky
104,Hithadhoo,MV,-0.6,73.0833,81.5,68,100,9.35,overcast clouds
105,Tete,MZ,-16.1564,33.5867,82.49,57,20,4.61,few clouds
106,Dunedin,NZ,-45.8742,170.5036,49.8,78,100,14.0,overcast clouds
107,Mandera,KE,3.9366,41.867,83.68,19,100,9.22,overcast clouds
108,Didwana,IN,27.4,74.5667,62.76,23,0,5.06,clear sky
109,Kedainiai,LT,55.2883,23.9747,33.15,73,100,13.82,overcast clouds
110,Butaritari,KI,3.0707,172.7902,82.74,69,99,15.97,overcast clouds
111,Gariaband,IN,20.635,82.0614,56.39,28,43,1.81,scattered clouds
112,Yeppoon,AU,-23.1333,150.7333,71.38,75,87,16.84,overcast clouds
113,Ascension,US,30.2169,-90.9001,72.1,53,40,10.36,scattered clouds
114,Mercedes,AR,-34.6515,-59.4307,72.03,30,0,13.62,clear sky
115,Bilibino,RU,68.0546,166.4372,-31.36,100,100,0.81,overcast clouds
116,Kodiak,US,57.79,-152.4072,34.59,83,87,9.6,overcast clouds
117,Ebolowa,CM,2.9,11.15,75.4,77,5,4.32,clear sky
118,Lahat,ID,-3.8,103.5333,72.5,94,100,2.39,overcast clouds
119,Lerik,AZ,38.7726,48.4128,36.19,58,0,7.02,clear sky
120,Grindavik,IS,63.8424,-22.4338,25.27,63,0,8.05,clear sky
121,Tual,ID,-5.6667,132.75,82.29,71,45,2.98,scattered clouds
122,Manta,EC,-0.95,-80.7333,78.6,76,100,6.15,overcast clouds
123,San Juan,AR,-31.5375,-68.5364,73.22,19,16,5.86,few clouds
124,Savannah Bight,HN,16.45,-85.85,84.0,76,0,16.62,clear sky
125,Porto Novo,BJ,6.4965,2.6036,80.46,78,5,7.61,clear sky
126,Sao Filipe,CV,14.8961,-24.4956,79.41,44,54,20.58,broken clouds
127,Manokwari,ID,-0.8667,134.0833,77.27,78,91,7.11,overcast clouds
128,Rawson,AR,-43.3002,-65.1023,80.26,25,100,7.07,overcast clouds
129,Huarmey,PE,-10.0681,-78.1522,76.53,70,48,11.01,scattered clouds
130,Tocopilla,CL,-22.092,-70.1979,74.5,65,20,11.83,few clouds
131,Cayenne,GF,4.9333,-52.3333,77.04,90,75,11.5,broken clouds
132,San Patricio,US,28.017,-97.5169,70.21,70,100,24.61,overcast clouds
133,La Palma,US,33.8464,-118.0467,88.27,21,3,8.99,clear sky
134,Castro Daire,PT,40.8984,-7.9338,50.25,87,76,3.13,broken clouds
135,Seredeyskiy,RU,54.0507,35.2318,18.41,93,16,10.27,few clouds
136,Lieksa,FI,63.3167,30.0167,14.09,98,96,6.22,overcast clouds
137,Saskylakh,RU,71.9167,114.0833,0.48,75,44,12.06,scattered clouds
138,Henties Bay,NA,-22.116,14.2845,71.85,80,77,6.2,light rain
139,Aripuana,BR,-9.1667,-60.6333,79.0,82,91,0.47,overcast clouds
140,Mataura,NZ,-46.1927,168.8643,50.49,92,92,2.82,overcast clouds
141,Hofn,IS,64.2539,-15.2082,24.69,69,100,21.61,overcast clouds
142,Coihaique,CL,-45.5752,-72.0662,82.71,36,11,5.35,few clouds
143,Clyde River,CA,70.4692,-68.5914,-14.82,90,100,23.73,overcast clouds
144,Wloszczowa,PL,50.8526,19.9659,32.4,61,8,7.0,clear sky
145,Lircay,PE,-12.9896,-74.7205,55.54,70,100,5.97,light rain
146,Georgetown,MY,5.4112,100.3354,82.33,79,20,5.01,few clouds
147,Cabo San Lucas,MX,22.8909,-109.9124,83.61,45,0,3.0,clear sky
148,Gouyave,GD,12.1646,-61.7296,78.06,71,100,15.86,overcast clouds
149,Ribeira Grande,PT,38.5167,-28.7,63.0,82,75,20.71,broken clouds
150,Capao Da Canoa,BR,-29.7456,-50.0097,77.49,73,5,18.84,clear sky
151,Puerto Cabezas,NI,14.0351,-83.3888,82.85,68,16,11.88,few clouds
152,Acapulco,MX,16.8634,-99.8901,85.08,46,100,7.29,overcast clouds
153,Erzin,TR,36.9559,36.2,41.52,70,5,2.44,clear sky
154,Namibe,AO,-15.1961,12.1522,76.23,80,83,7.78,broken clouds
155,Drumnadrochit,GB,57.3344,-4.4799,43.79,93,99,14.81,overcast clouds
